Spelling  nchar  LogFreq_Zipf  DomPoS  FreqCount  BNC_freq  Spell_check  Double_word_entry
accompanying  12  3.14  verb  274  1019  UKUS  
accompli  8  2.16  noun  28  1  UKUS  
accomplice  10  3.14  noun  276  196  UKUS  
accomplices  11  2.6  noun  79  76  UKUS  
accomplish  10  3.07  verb  238  260  UKUS  
accomplished  12  3.76  verb  1156  947  UKUS  
accomplishes  12  1.7  verb  9  14  UKUS  
accomplishing  13  1.93  verb  16  54  UKUS  
accomplishment  14  2.81  noun  128  134  UKUS  
accomplishments  15  2.5  noun  63  91  UKUS  
accord  6  3.25  noun  356  1159  UKUS  
accordance  10  3.19  noun  311  32  UKUS  
accordant  9  1.17  adjective  2  3  UKUS  
accorded  8  2.43  verb  53  502  UKUS  
according  9  4.79  verb  12309  112  UKUS  
accordingly  11  3.36  adverb  459  2307  UKUS  
accordion  9  3.42  noun  523  89  UKUS  
accordionist  12  1.93  noun  16  8  UKUS  
accordionists  13  1.6  noun  7  1  UKUS  
accordions  10  2.55  noun  70  11  UKUS  
accords  7  2.08  noun  23  253  UKUS  
accost  6  1.7  verb  9  21  UKUS  
accosted  8  2.37  verb  46  58  UKUS  
accosting  9  1.74  verb  10  12  UKUS  
accosts  7  1.17  verb  2  3  UKUS  
account  7  4.67  noun  9443  15891  UKUS  
accountabilities  16  1.17  noun  2  13  UKUS  
accountability  14  3.81  noun  1292  1210  UKUS  account ability
accountable  11  3.78  adjective  1225  659  UKUS  
accountancy  11  3.1  noun  254  821  UKUS  
accountant  10  3.68  noun  971  951  UKUS  
accountants  11  3.25  noun  359  1249  UKUS  
accounted  9  3.18  verb  305  1413  UKUS  
accounting  10  3.43  noun  539  3694  UKUS  
accounts  8  4.25  noun  3578  7249  UKUS  
accoutrement  12  1.81  noun  12  6  UKUS  
accoutrements  13  2.41  noun  51  46  UKUS  
accreditation  13  2.64  noun  87  290  UKUS  
accreditations  14  1.54  noun  6  5  UKUS  
accredited  10  2.82  verb  131  212  UKUS  
accredits  9  1.3  verb  3  2  UKUS  
accrete  7  1.17  verb  2  8  UKUS  
accreted  8  1.47  verb  5  28  UKUS  
accretion  9  1.47  noun  5  115  UKUS  
accretions  10  1.3  noun  3  22  UKUS  
accrual  7  1.77  noun  11  43  UKUS  
accrue  6  2.45  verb  56  200  UKUS  
accrued  7  2.67  verb  94  266  UKUS  
accrues  7  1.77  verb  11  44  UKUS  
accruing  8  2.02  verb  20  138  UKUS  
acct  4  1.84  name  13  3  UKUS  
acculturated  12  1.17  verb  2  3  UKUS  
accumulate  10  3.04  verb  219  378  UKUS  
accumulated  11  3.21  verb  323  803  UKUS  
accumulates  11  2.31  verb  40  79  UKUS  
accumulating  12  2.72  verb  105  222  UKUS  
accumulation  12  2.88  noun  151  908  UKUS  
accumulations  13  2.16  noun  28  80  UKUS  
accumulative  12  1.81  adjective  12  13  UKUS  
accumulatively  14  1.17  adverb  2  0  UKUS  
accumulator  11  2.21  noun  32  223  UKUS  
accumulators  12  1.39  noun  4  65  UKUS  
accuracy  8  3.64  noun  873  1700  UKUS  
accurate  8  4.16  adjective  2904  2928  UKUS  
accurately  10  3.48  adverb  613  1423  UKUS  
accursed  8  2.02  verb  20  34  UKUS  
accusation  10  3.46  noun  575  443  UKUS  
accusations  11  3.62  noun  833  714  UKUS  
accusative  10  1.6  noun  7  6  UKUS  
accusatory  10  1.54  adjective  6  21  UKUS  
accuse  6  3.58  verb  772  361  UKUS  
accused  7  4.47  verb  5998  4910  UKUS  
accuser  7  2.17  noun  29  29  UKUS  
accusers  8  2.09  noun  24  29  UKUS  
accuses  7  3.07  verb  237  125  UKUS  
accusing  8  3.6  verb  798  552  UKUS  
accusingly  10  1.47  adverb  5  101  UKUS  
accustom  8  1.74  verb  10  34  UKUS  
accustomed  10  3.29  verb  390  947  UKUS  
ace  3  3.79  noun  1240  1924  UKUS  
aced  4  2.39  verb  49  3  UKUS  
acerbic  7  2.17  adjective  29  47  UKUS  
aces  4  3.07  verb  234  151  UKUS  
acetate  7  2.51  noun  64  146  UKUS  
acetates  8  1.39  noun  4  8  UKUS  
acetic  6  2.3  adjective  39  109  UKUS  
acetone  7  2.19  noun  30  42  UKUS  
acetyl  6  1.3  noun  3  23  UKUS  
acetylene  9  2.23  noun  33  15  UKUS  
ach  3  3.18  name  304  97  UKUS  
ache  4  3.35  noun  453  409  UKUS  
ached  5  2.13  verb  26  288  UKUS  
aches  5  3.01  noun  205  177  UKUS  
achievable  10  3.36  adjective  462  212  UKUS  
achieve  7  4.66  verb  9136  6768  UKUS  
achieved  8  4.48  verb  6136  7954  UKUS  
achievement  11  4.26  noun  3644  3126  UKUS  
achievements  12  3.83  noun  1375  1513  UKUS  
achiever  8  2.42  noun  52  20  UKUS  
achievers  9  2.56  noun  73  60  UKUS  
achieves  8  2.96  verb  183  343  UKUS  
achieving  9  3.79  verb  1252  1851  UKUS  
aching  6  3.3  verb  403  470  UKUS  
achingly  8  2.06  adverb  22  41  UKUS  
achy  4  2.66  adjective  92  12  UKUS  
acid  4  4.01  noun  2075  4968  UKUS  
acidic  6  3.26  adjective  365  191  UKUS  
acidification  13  1.47  noun  5  119  UKUS  
acidified  9  1.3  verb  3  59  UKUS  
acidify  7  1.3  verb  3  9  UKUS  
acidifying  10  1.17  adjective  2  6  UKUS  
acidity  7  3.47  noun  592  279  UKUS  
acidophilus  11  1.17  noun  2  3  UKUS  
acidosis  8  1.74  noun  10  29  UKUS  
acids  5  3.07  noun  235  1008  UKUS  
acidulated  10  1.9  adjective  15  3  UKUS  
acidy  5  1.47  adjective  5  5  UKUS  
acing  5  1.54  verb  6  1  UKUS  
acknowledge  11  3.89  verb  1559  1493  UKUS  
acknowledged  12  3.67  verb  939  2115  UKUS  
acknowledgement  15  3.14  noun  274  566  UKUS  
acknowledgements  16  1.6  noun  7  99  UKUS  
acknowledges  12  3.04  verb  222  494  UKUS  
acknowledging  13  3.14  verb  280  420  UKUS  
acknowledgment  14  2.19  noun  30  99  UKUS  
acknowledgments  15  1.17  noun  2  11  UKUS  
acme  4  2.39  name  49  48  UKUS  
acne  4  2.95  noun  177  134  UKUS  
acolyte  7  1.17  noun  2  22  UKUS  
acolytes  8  2.04  noun  21  38  UKUS  
aconite  7  1.87  noun  14  39  UKUS  
aconites  8  1.95  noun  17  8  UKUS  
aconitum  8  1.7  name  9  1  UKUS  
acorn  5  3.13  noun  271  238  UKUS  
acorns  6  3.26  noun  363  61  UKUS  
acoustic  8  3.39  adjective  497  663  UKUS  
acoustical  10  1.3  adjective  3  8  UKUS  
acoustically  12  2.08  adverb  23  44  UKUS  
acoustician  11  1.17  noun  2  0  UKUS  
acousticians  12  1.17  noun  2  0  UKUS  
acoustics  9  2.97  noun  186  117  UKUS  
acquaint  8  2.04  verb  21  58  UKUS  
acquaintance  12  3.21  noun  325  622  UKUS  
acquaintances  13  2.68  noun  96  305  UKUS  
acquaintanceship  16  1.54  noun  6  28  UKUS  
acquainted  10  3.08  verb  242  315  UKUS  
acquainting  11  1.39  verb  4  9  UKUS  
acquiesce  9  2.08  verb  23  67  UKUS  
acquiesced  10  1.65  verb  8  70  UKUS  
acquiescence  12  1.81  noun  12  173  UKUS  
acquiescent  11  1.47  adjective  5  37  UKUS  
acquiesces  10  1.17  verb  2  2  UKUS  
acquiescing  11  1.3  verb  3  27  UKUS  
acquire  7  3.46  verb  585  2000  UKUS  
acquired  8  3.8  verb  1272  4039  UKUS  
acquirer  8  1.17  noun  2  121  UKUS  
acquires  8  2.21  verb  32  239  UKUS  
acquiring  9  2.99  verb  198  882  UKUS  
acquisition  11  3.18  noun  304  2618  UKUS  
acquisitions  12  2.78  noun  121  695  UKUS  
acquisitive  11  1.95  adjective  17  67  UKUS  
acquit  6  2.32  verb  41  55  UKUS  
acquits  7  1.17  verb  2  2  UKUS  
acquittal  9  2.37  noun  46  125  UKUS  
acquittals  10  1.7  noun  9  19  UKUS  
acquitted  9  3.18  verb  301  378  UKUS  
