subject,sex,age,bigram_freq,concreteness,correct,diversity,word_freq,initial,letters,response_time,item,trans_prob
28,0,19,0,3.82,1,0,196.94,fart,6,498,course,0
21,1,19,466,3.37,1,52,98.77,index,6,498,closed,0.003869304
26,1,19,,,1,,,kilo,6,498,toosed,0
13,1,19,,,1,,,litmus,7,498,sweased,0
17,0,21,10,2.71,1,568,109.4,local,6,498,access,0.000539223
25,1,18,,,1,,,proton,8,498,grorgues,0
7,1,19,,,1,,,team,6,498,spause,0
14,1,19,,,1,,,twist,4,498,slev,0
22,1,19,0,3.2,1,343,191.09,year,7,498,hundred,0
22,1,19,,,1,,,date,4,499,yerv,0
5,1,20,,,1,,,decay,6,499,flirst,0
19,1,19,,,1,,,display,6,499,snerps,0.010244287
24,1,19,,,1,,,explain,5,499,splim,0
29,0,20,4525,2,1,1900,354.73,have,4,499,done,0.0000211
5,1,20,10,2.86,1,19,220.99,hostile,6,499,action,0.012135922
22,1,19,,,1,,,invite,5,499,fifed,0
31,0,25,,,1,,,jazz,7,499,wroffed,0
6,1,19,,,1,,,love,5,499,thwis,0
18,1,19,311,2.07,1,203,299.1,recent,5,499,times,0.000693656
12,1,20,,,1,,,ride,6,499,scurrs,0
5,1,20,,,1,,,stun,7,499,flugged,0
7,1,19,,,1,,,copy,8,500,splathed,0
18,1,19,,,1,,,copy,8,500,splathed,0
18,1,19,,,1,,,full,4,500,vudd,0
10,1,20,,,1,,,graft,5,500,phlug,0
18,1,19,,,1,,,hail,6,500,durped,0
1,1,27,,,1,,,mixture,7,500,splulks,0
13,1,19,,,1,,,portion,7,500,sprirds,0
30,0,19,,,1,,,sides,5,500,psoom,0
23,1,19,,,1,,,sinner,7,500,spriege,0
16,1,23,0,4.4,1,17,62.03,ski,8,500,aircraft,0
6,1,19,,,1,,,snippet,4,500,durg,0
26,1,19,0,3.08,1,0,199.81,stippled ,5,500,trade,0
22,1,19,,,1,,,bombard,6,501,slouth,0
21,1,19,,,1,,,classes,7,501,blursed,0
26,1,19,,,1,,,client,6,501,fronth,0
27,1,22,512,4.3,1,74,93.39,daily,4,501,post,0.003276969
1,1,27,,,1,,,data,3,501,bic,0
31,0,25,3624,4.14,1,92,151.14,date,5,501,award,0.003629652
5,1,20,381,3.87,1,78,407.39,fifty,4,501,five,0.001747844
2,1,23,,,1,,,landing,5,501,phrav,0
1,1,27,0,4.14,1,0,1.03,lifer ,4,501,hugs,0
10,1,20,,,1,,,magic,5,501,glorb,0
24,1,19,,,1,,,mess,6,501,wheuce,0
9,1,41,,,1,,,parish,6,501,twalts,0
30,0,19,,,1,,,parish,6,501,twalts,0
11,1,20,,,1,,,proton,8,501,grorgues,0
5,1,20,311,2.07,1,203,299.1,recent,5,501,times,0.000693656
4,1,20,10,2.67,1,1,107.25,rustic,5,501,style,0.041152263
1,1,27,,,1,,,sleeper,6,501,chault,0
22,1,19,,,1,,,spring,6,501,swesks,0
26,1,19,,,1,,,spring,6,501,swesks,0
2,1,23,,,1,,,statute,5,501,gwink,0
10,1,20,,,1,,,trains,8,501,dreethed,0
14,1,19,,,1,,,typhoid,7,501,hoursed,0
9,1,41,2745,3.22,1,115,204.27,wide,5,501,range,0.027777778
22,1,19,10,3.03,1,567,98.07,always,6,502,accept,0.000237951
21,1,19,,,1,,,feud,8,502,thrieled,0
31,0,25,,,1,,,hands,5,502,smats,0
17,0,21,,,1,,,jeering,7,502,mitched,0
15,1,19,10,2.7,1,479,59.67,less,6,502,afraid,0.001261494
10,1,20,,,1,,,motion,5,502,tranc,0
21,1,19,,,1,,,sinner,7,502,spriege,0
15,1,19,,,1,,,time,6,502,flurnt,0
